"Time","opctyngppri01 : Actives"
2022-04-17 02:00:00,1563
2022-04-17 05:00:00,852
2022-04-17 08:00:00,329
2022-04-17 11:00:00,513
2022-04-17 14:00:00,409
2022-04-17 17:00:00,448
2022-04-17 20:00:00,451
2022-04-17 23:00:00,566
2022-04-18 02:00:00,1568
2022-04-18 05:00:00,842
2022-04-18 08:00:00,411
2022-04-18 11:00:00,659
2022-04-18 14:00:00,504
2022-04-18 17:00:00,516
2022-04-18 20:00:00,481
2022-04-18 23:00:00,561
2022-04-19 02:00:00,1493
2022-04-19 05:00:00,806
2022-04-19 08:00:00,1957
2022-04-19 11:00:00,4628
2022-04-19 14:00:00,5577
2022-04-19 17:00:00,3458
2022-04-19 20:00:00,866
2022-04-19 23:00:00,667
2022-04-20 02:00:00,1578
2022-04-20 05:00:00,687
2022-04-20 08:00:00,1683
2022-04-20 11:00:00,3183
2022-04-20 14:00:00,2293
2022-04-20 17:00:00,2099
2022-04-20 20:00:00,741
2022-04-20 23:00:00,602
2022-04-21 02:00:00,1533
2022-04-21 05:00:00,648
2022-04-21 08:00:00,1473
2022-04-21 11:00:00,3530
2022-04-21 14:00:00,2863
2022-04-21 17:00:00,2403
2022-04-21 20:00:00,780
2022-04-21 23:00:00,600
2022-04-22 02:00:00,1617
2022-04-22 05:00:00,967
2022-04-22 08:00:00,1460
2022-04-22 11:00:00,2917
2022-04-22 14:00:00,2344
2022-04-22 17:00:00,2206
2022-04-22 20:00:00,817
2022-04-22 23:00:00,592
2022-04-23 02:00:00,1597
2022-04-23 05:00:00,904
2022-04-23 08:00:00,501
2022-04-23 11:00:00,905
2022-04-23 14:00:00,733
2022-04-23 17:00:00,708
2022-04-23 20:00:00,520
2022-04-23 23:00:00,563
2022-04-24 02:00:00,1574
2022-04-24 05:00:00,839
2022-04-24 08:00:00,332
2022-04-24 11:00:00,477
2022-04-24 14:00:00,396
2022-04-24 17:00:00,450
2022-04-24 20:00:00,449
2022-04-24 23:00:00,565
2022-04-25 02:00:00,1554
2022-04-25 05:00:00,847
2022-04-25 08:00:00,1823
2022-04-25 11:00:00,3394
2022-04-25 14:00:00,2609
2022-04-25 17:00:00,2289
2022-04-25 20:00:00,734
2022-04-25 23:00:00,586
2022-04-26 02:00:00,1597
2022-04-26 05:00:00,879
2022-04-26 08:00:00,1809
2022-04-26 11:00:00,4357
2022-04-26 14:00:00,3614
2022-04-26 17:00:00,3147
2022-04-26 20:00:00,844
2022-04-26 23:00:00,624
2022-04-27 02:00:00,1557
2022-04-27 05:00:00,673
2022-04-27 08:00:00,1677
2022-04-27 11:00:00,3311
2022-04-27 14:00:00,2576
2022-04-27 17:00:00,2307
2022-04-27 20:00:00,760
2022-04-27 23:00:00,609
2022-04-28 02:00:00,1553
2022-04-28 05:00:00,657
2022-04-28 08:00:00,1569
2022-04-28 11:00:00,3244
2022-04-28 14:00:00,2693
2022-04-28 17:00:00,2325
2022-04-28 20:00:00,822
2022-04-28 23:00:00,630
2022-04-29 02:00:00,1618
2022-04-29 05:00:00,911
2022-04-29 08:00:00,1497
2022-04-29 11:00:00,3076
2022-04-29 14:00:00,2565
2022-04-29 17:00:00,2135
2022-04-29 20:00:00,804
2022-04-29 23:00:00,631
2022-04-30 02:00:00,1623
2022-04-30 05:00:00,900
2022-04-30 08:00:00,515
2022-04-30 11:00:00,920
2022-04-30 14:00:00,708
2022-04-30 17:00:00,665
2022-04-30 20:00:00,575
2022-04-30 23:00:00,582
2022-05-01 02:00:00,1580
2022-05-01 05:00:00,781
2022-05-01 08:00:00,333
2022-05-01 11:00:00,488
2022-05-01 14:00:00,396
2022-05-01 17:00:00,415
2022-05-01 20:00:00,422
2022-05-01 23:00:00,561
2022-05-02 02:00:00,1586
2022-05-02 05:00:00,834
2022-05-02 08:00:00,1755
2022-05-02 11:00:00,3184
2022-05-02 14:00:00,2555
2022-05-02 17:00:00,2226
2022-05-02 20:00:00,753
2022-05-02 23:00:00,632
